Angle (deg),X Position (cm),Height (um)
29.996000,0.986357,30.608735
29.894000,0.985390,30.578721
29.790000,0.986357,30.608735
29.689000,0.985390,30.578721
29.586000,0.986357,30.608735
29.488000,0.987324,30.638749
29.390000,0.987324,30.638749
29.296000,0.986357,30.608735
29.203000,0.985390,30.578721
29.109000,0.985390,30.578721
29.013000,0.985390,30.578721
28.914000,0.987324,30.638749
28.809000,0.986357,30.608735
28.701000,0.986357,30.608735
28.599000,0.986357,30.608735
28.500000,0.985390,30.578721
28.398000,0.986357,30.608735
28.299000,0.988291,30.668764
28.199000,0.987324,30.638749
28.100000,0.987324,30.638749
27.998000,0.986357,30.608735
27.896000,0.987324,30.638749
27.791000,0.986357,30.608735
27.691000,0.986357,30.608735
27.589000,0.986357,30.608735
27.491000,0.986357,30.608735
27.393000,0.987324,30.638749
27.300000,0.986357,30.608735
27.207000,0.985390,30.578721
27.111000,0.986357,30.608735
27.014000,0.986357,30.608735
26.917000,0.987324,30.638749
26.813000,0.987324,30.638749
26.705000,0.986357,30.608735
26.601000,0.987324,30.638749
26.501000,0.985390,30.578721
26.399000,0.986357,30.608735
26.299000,0.986357,30.608735
26.199000,0.987324,30.638749
26.100000,0.985390,30.578721
25.998000,0.985390,30.578721
25.896000,0.987324,30.638749
25.792000,0.986357,30.608735
25.691000,0.986357,30.608735
25.590000,0.985390,30.578721
25.491000,0.985390,30.578721
25.393000,0.987324,30.638749
25.300000,0.985390,30.578721
25.208000,0.985390,30.578721
25.112000,0.985390,30.578721
25.014000,0.986357,30.608735
24.916000,0.986357,30.608735
24.811000,0.987324,30.638749
24.702000,0.986357,30.608735
24.599000,0.987324,30.638749
24.500000,0.986357,30.608735
24.398000,0.987324,30.638749
24.298000,0.985390,30.578721
24.199000,0.984423,30.548706
24.100000,0.985390,30.578721
23.998000,0.986357,30.608735
23.896000,0.986357,30.608735
23.792000,0.986357,30.608735
23.692000,0.986357,30.608735
23.590000,0.987324,30.638749
23.492000,0.985390,30.578721
23.394000,0.985390,30.578721
23.300000,0.985390,30.578721
23.207000,0.985390,30.578721
23.112000,0.986357,30.608735
23.014000,0.985390,30.578721
22.916000,0.985390,30.578721
22.811000,0.985390,30.578721
22.702000,0.986357,30.608735
22.599000,0.985390,30.578721
22.500000,0.987324,30.638749
22.398000,0.986357,30.608735
22.298000,0.986357,30.608735
22.198000,0.986357,30.608735
22.098000,0.986357,30.608735
21.996000,0.986357,30.608735
21.894000,0.986357,30.608735
21.790000,0.986357,30.608735
21.689000,0.986357,30.608735
21.588000,0.985390,30.578721
21.489000,0.985390,30.578721
21.391000,0.985390,30.578721
21.299000,0.985390,30.578721
21.207000,0.986357,30.608735
21.112000,0.985390,30.578721
21.015000,0.985390,30.578721
20.914000,0.986357,30.608735
20.808000,0.985390,30.578721
20.700000,0.985390,30.578721
20.598000,0.987324,30.638749
20.499000,0.986357,30.608735
20.396000,0.985390,30.578721
20.296000,0.986357,30.608735
20.196000,0.986357,30.608735
20.096000,0.986357,30.608735
19.995000,0.986357,30.608735
19.893000,0.985390,30.578721
19.789000,0.987324,30.638749
19.689000,0.986357,30.608735
19.587000,0.986357,30.608735
19.489000,0.986357,30.608735
19.391000,0.985390,30.578721
19.296000,0.985390,30.578721
19.204000,0.985390,30.578721
19.109000,0.986357,30.608735
19.011000,0.985390,30.578721
18.913000,0.986357,30.608735
18.810000,0.986357,30.608735
18.702000,0.986357,30.608735
18.600000,0.986357,30.608735
18.500000,0.985390,30.578721
18.398000,0.986357,30.608735
18.298000,0.987324,30.638749
18.197000,0.987324,30.638749
18.098000,0.986357,30.608735
17.995000,0.987324,30.638749
17.893000,0.987324,30.638749
17.789000,0.987324,30.638749
17.689000,0.986357,30.608735
17.588000,0.985390,30.578721
17.490000,0.986357,30.608735
17.394000,0.986357,30.608735
17.300000,0.985390,30.578721
17.208000,0.986357,30.608735
17.111000,0.985390,30.578721
17.013000,0.985390,30.578721
16.913000,0.986357,30.608735
16.810000,0.984423,30.548706
16.703000,0.986357,30.608735
16.602000,0.985390,30.578721
16.502000,0.986357,30.608735
16.400000,0.986357,30.608735
16.300000,0.985390,30.578721
16.200000,0.987324,30.638749
16.100000,0.986357,30.608735
15.998000,0.987324,30.638749
15.895000,0.987324,30.638749
15.791000,0.985390,30.578721
15.690000,0.987324,30.638749
15.589000,0.985390,30.578721
15.491000,0.985390,30.578721
15.395000,0.986357,30.608735
15.302000,0.985390,30.578721
15.211000,0.984423,30.548706
15.116000,0.985390,30.578721
15.020000,0.985390,30.578721
14.919000,0.986357,30.608735
14.813000,0.987324,30.638749
14.704000,0.986357,30.608735
14.603000,0.986357,30.608735
14.505000,0.986357,30.608735
14.853000,2.063421,30.524931
14.944000,2.063421,30.524931
15.045000,2.065446,30.554893
15.147000,2.061395,30.494970
15.250000,2.061395,30.494970
15.350000,2.063421,30.524931
15.453000,2.063421,30.524931
15.562000,2.063421,30.524931
15.667000,2.067471,30.584855
15.766000,2.067471,30.584855
15.866000,2.065446,30.554893
15.965000,2.065446,30.554893
16.063000,2.067471,30.584855
16.158000,2.063421,30.524931
16.257000,2.065446,30.554893
16.359000,2.067471,30.584855
16.455000,2.067471,30.584855
16.555000,2.063421,30.524931
16.660000,2.063421,30.524931
16.762000,2.063421,30.524931
16.853000,2.063421,30.524931
16.944000,2.065446,30.554893
17.045000,2.065446,30.554893
17.146000,2.065446,30.554893
17.249000,2.063421,30.524931
17.350000,2.061395,30.494970
17.452000,2.063421,30.524931
17.561000,2.063421,30.524931
17.665000,2.063421,30.524931
17.764000,2.065446,30.554893
17.864000,2.065446,30.554893
17.963000,2.065446,30.554893
18.061000,2.065446,30.554893
18.157000,2.067471,30.584855
18.256000,2.063421,30.524931
18.358000,2.067471,30.584855
18.454000,2.065446,30.554893
18.554000,2.065446,30.554893
18.660000,2.067471,30.584855
18.762000,2.063421,30.524931
18.853000,2.063421,30.524931
18.944000,2.063421,30.524931
19.045000,2.065446,30.554893
19.146000,2.063421,30.524931
19.248000,2.063421,30.524931
19.350000,2.065446,30.554893
19.453000,2.063421,30.524931
19.562000,2.063421,30.524931
19.666000,2.063421,30.524931
19.766000,2.063421,30.524931
19.865000,2.063421,30.524931
19.962000,2.063421,30.524931
20.059000,2.063421,30.524931
20.156000,2.063421,30.524931
20.254000,2.067471,30.584855
20.357000,2.063421,30.524931
20.452000,2.065446,30.554893
20.552000,2.067471,30.584855
20.657000,2.063421,30.524931
20.758000,2.065446,30.554893
20.851000,2.063421,30.524931
20.943000,2.065446,30.554893
21.043000,2.063421,30.524931
21.144000,2.061395,30.494970
21.247000,2.063421,30.524931
21.348000,2.063421,30.524931
21.451000,2.063421,30.524931
21.560000,2.065446,30.554893
21.666000,2.063421,30.524931
21.765000,2.065446,30.554893
21.865000,2.061395,30.494970
21.963000,2.063421,30.524931
22.061000,2.065446,30.554893
22.158000,2.063421,30.524931
22.256000,2.067471,30.584855
22.358000,2.069497,30.614816
22.454000,2.065446,30.554893
