X Position,Angle (deg),Height (mm)
14.719,-17.435835,16.908949
14.962,-17.457392,16.929855
15.208,-17.414277,16.888043
15.452,-17.435835,16.908949
15.695,-17.47895,16.950761
15.945,-17.414277,16.888043
16.188,-17.39272,16.867136
16.422,-17.349604,16.825324
16.642,-17.414277,16.888043
16.886,-17.349604,16.825324
17.128,-17.328047,16.804418
17.374,-17.349604,16.825324
17.619,-17.39272,16.867136
17.861,-17.39272,16.867136
18.11,-17.39272,16.867136
18.351,-17.39272,16.867136
18.572,-17.435835,16.908949
18.809,-17.414277,16.888043
19.047,-17.328047,16.804418
19.294,-17.371162,16.84623
19.542,-17.328047,16.804418
19.778,-17.371162,16.84623
20.029,-17.457392,16.929855
20.27,-17.39272,16.867136
20.5,-17.414277,16.888043
20.725,-17.47895,16.950761
20.965,-17.716084,17.18073
21.211,-17.823873,17.285261
21.454,-17.996334,17.452511
21.697,-18.233468,17.682479
21.946,-18.40593,17.849729
22.191,-18.449045,17.891541
22.422,-18.707737,18.142416
22.637,-18.944871,18.372384
22.884,-18.77241,18.205134
23.125,-18.77241,18.205134
23.37,-18.643064,18.079697
23.617,-18.729294,18.163322
23.859,-18.686179,18.12151
24.105,-18.686179,18.12151
24.338,-18.664621,18.100603
24.557,-18.707737,18.142416
24.798,-18.729294,18.163322
25.039,-18.85864,18.288759
25.289,-18.707737,18.142416
25.536,-18.729294,18.163322
25.774,-18.664621,18.100603
26.024,-18.664621,18.100603
26.263,-18.664621,18.100603
26.486,-18.664621,18.100603
26.713,-18.686179,18.12151
26.958,-18.707737,18.142416
27.205,-18.793967,18.226041
27.45,-18.621506,18.058791
27.692,-18.470603,17.912447
27.941,-18.319699,17.766104
28.185,-18.104122,17.557042
28.415,-17.823873,17.285261
28.633,-17.737642,17.201636
28.878,-17.629854,17.097105
29.119,-17.543623,17.01348
29.364,-17.457392,16.929855
29.61,-17.39272,16.867136
29.851,-17.371162,16.84623
30.094,-17.371162,16.84623
30.329,-17.457392,16.929855
30.549,-17.39272,16.867136
30.79,-17.39272,16.867136
31.034,-17.371162,16.84623
31.282,-17.371162,16.84623
31.529,-17.435835,16.908949
31.765,-17.371162,16.84623
32.017,-17.371162,16.84623
32.256,-17.39272,16.867136
32.469,-17.39272,16.867136
32.701,-17.371162,16.84623
32.949,-17.414277,16.888043
33.193,-17.435835,16.908949
33.438,-17.435835,16.908949
33.684,-17.414277,16.888043
33.93,-17.435835,16.908949
34.17,-17.371162,16.84623
34.394,-17.39272,16.867136
34.619,-17.349604,16.825324
34.865,-17.371162,16.84623
35.105,-17.39272,16.867136
35.347,-17.371162,16.84623
35.592,-17.371162,16.84623
35.834,-17.328047,16.804418
36.073,-17.349604,16.825324
36.306,-17.349604,16.825324
36.534,-17.39272,16.867136
36.778,-17.371162,16.84623
37.02,-17.349604,16.825324
37.266,-17.349604,16.825324
37.514,-17.371162,16.84623
37.754,-17.39272,16.867136
38.001,-17.371162,16.84623
38.233,-17.349604,16.825324
38.457,-17.371162,16.84623
38.693,-17.349604,16.825324
38.943,-17.328047,16.804418
39.192,-17.414277,16.888043
39.438,-17.500508,16.971668
39.68,-17.349604,16.825324
39.929,-17.39272,16.867136
40.171,-17.457392,16.929855
40.4,-17.414277,16.888043
40.619,-17.500508,16.971668
40.867,-17.435835,16.908949
41.112,-17.39272,16.867136
41.358,-17.414277,16.888043
41.603,-17.435835,16.908949
41.845,-17.47895,16.950761
42.092,-17.39272,16.867136
42.331,-17.414277,16.888043
42.55,-17.371162,16.84623
42.788,-17.39272,16.867136
43.029,-17.39272,16.867136
43.275,-17.39272,16.867136
43.521,-17.39272,16.867136
43.758,-17.435835,16.908949
44.007,-17.371162,16.84623
44.246,-17.39272,16.867136
44.464,-17.39272,16.867136
44.693,-17.414277,16.888043
44.937,-17.349604,16.825324
45.188,-17.39272,16.867136
45.429,-17.39272,16.867136
45.671,-17.328047,16.804418
45.918,-17.349604,16.825324
46.158,-17.328047,16.804418
46.384,-17.39272,16.867136
46.607,-17.435835,16.908949
46.857,-17.328047,16.804418
47.101,-17.306489,16.783512
47.346,-17.349604,16.825324
47.592,-17.306489,16.783512
47.83,-17.306489,16.783512
48.068,-17.349604,16.825324
48.293,-17.349604,16.825324
48.521,-17.349604,16.825324
48.768,-17.39272,16.867136
49.013,-17.371162,16.84623
49.262,-17.371162,16.84623
49.508,-17.349604,16.825324
49.744,-17.306489,16.783512
49.993,-17.306489,16.783512
50.227,-17.349604,16.825324
50.452,-17.349604,16.825324
50.683,-17.371162,16.84623
50.929,-17.263374,16.741699
51.178,-17.306489,16.783512
51.423,-17.328047,16.804418
51.664,-17.284931,16.762605
51.909,-17.306489,16.783512
52.147,-17.371162,16.84623
52.376,-17.371162,16.84623
52.599,-17.371162,16.84623
52.847,-17.349604,16.825324
53.092,-17.349604,16.825324
53.34,-17.371162,16.84623
53.585,-17.39272,16.867136
53.822,-17.328047,16.804418
54.066,-17.349604,16.825324
54.299,-17.349604,16.825324
54.52,-17.328047,16.804418
54.763,-17.414277,16.888043
55.007,-17.414277,16.888043
55.258,-17.349604,16.825324
55.504,-17.306489,16.783512
55.74,-17.349604,16.825324
55.989,-17.306489,16.783512
56.227,-17.328047,16.804418
56.45,-17.349604,16.825324
56.679,-17.349604,16.825324
56.927,-17.349604,16.825324
57.177,-17.328047,16.804418
57.418,-17.349604,16.825324
57.659,-17.328047,16.804418
57.909,-17.349604,16.825324
58.151,-17.328047,16.804418
58.381,-17.349604,16.825324
58.6,-17.349604,16.825324
58.85,-17.371162,16.84623
59.096,-17.371162,16.84623
59.338,-17.306489,16.783512
59.581,-17.328047,16.804418
59.822,-17.349604,16.825324
60.071,-17.371162,16.84623
60.31,-17.349604,16.825324
60.531,-17.39272,16.867136
60.771,-17.371162,16.84623
61.013,-17.349604,16.825324
61.259,-17.328047,16.804418
61.504,-17.414277,16.888043
61.74,-17.414277,16.888043
61.99,-17.371162,16.84623
62.231,-17.349604,16.825324
62.46,-17.435835,16.908949
62.686,-17.39272,16.867136
62.932,-17.371162,16.84623
63.177,-17.39272,16.867136
63.418,-17.349604,16.825324
63.659,-17.39272,16.867136
63.909,-17.39272,16.867136
64.151,-17.371162,16.84623
64.385,-17.457392,16.929855
64.605,-17.457392,16.929855
64.85,-17.371162,16.84623
65.092,-17.716084,17.18073
65.334,-17.802315,17.264355
