Angle (deg),X Position (cm),Height (um)
0.000000,76.654000,856.000000
0.000000,76.819000,859.000000
0.000000,76.976000,860.000000
0.000000,77.138000,862.000000
0.000000,77.298000,864.000000
0.000000,77.464000,867.000000
0.000000,77.620000,870.000000
0.000000,77.783000,872.000000
0.000000,77.951000,874.000000
0.000000,78.111000,877.000000
0.000000,78.271000,880.000000
0.000000,78.425000,883.000000
0.000000,78.574000,886.000000
0.000000,78.737000,889.000000
0.000000,78.897000,890.000000
0.000000,79.057000,894.000000
0.000000,79.218000,897.000000
0.000000,79.377000,900.000000
0.000000,79.541000,904.000000
0.000000,79.698000,906.000000
0.000000,79.867000,910.000000
0.000000,80.029000,914.000000
0.000000,80.191000,916.000000
0.000000,80.348000,920.000000
0.000000,80.498000,924.000000
0.000000,80.652000,927.000000
0.000000,80.816000,931.000000
0.000000,80.974000,935.000000
0.000000,81.136000,939.000000
0.000000,81.296000,943.000000
0.000000,81.461000,946.000000
0.000000,81.617000,950.000000
0.000000,81.780000,955.000000
0.000000,81.947000,959.000000
0.000000,82.108000,963.000000
0.000000,82.269000,966.000000
0.000000,82.423000,971.000000
0.000000,82.570000,973.000000
0.000000,82.733000,996.000000
0.000000,82.892000,981.000000
0.000000,83.054000,984.000000
0.000000,83.214000,1021.000000
0.000000,83.373000,1029.000000
0.000000,83.537000,1030.000000
0.000000,83.693000,1028.000000
0.000000,83.863000,1030.000000
0.000000,84.024000,1030.000000
0.000000,84.185000,1030.000000
0.000000,84.342000,770.000000
0.000000,84.492000,768.000000
0.000000,84.647000,766.000000
0.000000,84.812000,766.000000
0.000000,84.969000,765.000000
0.000000,85.130000,766.000000
0.000000,85.289000,766.000000
0.000000,85.453000,766.000000
0.000000,85.609000,765.000000
0.000000,85.773000,764.000000
0.000000,85.939000,767.000000
0.000000,86.100000,766.000000
0.000000,86.260000,765.000000
0.000000,86.411000,766.000000
0.000000,86.560000,767.000000
0.000000,86.725000,766.000000
0.000000,86.885000,766.000000
0.000000,87.046000,766.000000
0.000000,87.206000,766.000000
0.966800,86.182000,766.000000
0.966800,86.024000,766.000000
0.966800,85.865000,766.000000
0.966800,85.707000,768.000000
0.966800,85.547000,766.000000
0.966800,85.386000,765.000000
0.966800,85.225000,765.000000
0.966800,85.070000,765.000000
0.966800,84.908000,767.000000
0.966800,84.744000,765.000000
0.966800,84.580000,766.000000
0.966800,84.420000,768.000000
0.966800,84.263000,774.000000
0.966800,84.106000,1017.000000
0.966800,83.947000,1015.000000
0.966800,83.789000,1017.000000
0.966800,83.631000,1018.000000
0.966800,83.469000,1018.000000
0.966800,83.307000,1017.000000
0.966800,83.150000,984.000000
0.966800,82.993000,979.000000
0.966800,82.830000,977.000000
0.966800,82.666000,973.000000
0.966800,82.503000,970.000000
0.966800,82.344000,966.000000
0.966800,82.186000,961.000000
0.966800,82.028000,957.000000
0.966800,81.869000,954.000000
0.966800,81.712000,951.000000
0.966800,81.552000,946.000000
0.966800,81.390000,941.000000
0.966800,81.229000,937.000000
0.966800,81.073000,935.000000
0.966800,80.912000,930.000000
0.966800,80.747000,927.000000
0.966800,80.584000,924.000000
0.966800,80.423000,920.000000
0.966800,80.266000,915.000000
0.966800,80.108000,912.000000
0.966800,79.950000,908.000000
0.966800,79.791000,906.000000
0.966800,79.633000,901.000000
0.966800,79.473000,898.000000
0.966800,79.310000,895.000000
0.966800,79.153000,892.000000
0.966800,78.995000,890.000000
0.966800,78.832000,887.000000
0.966800,78.668000,884.000000
0.966800,78.506000,882.000000
0.966800,78.348000,878.000000
0.966800,78.191000,875.000000
0.966800,78.032000,873.000000
0.966800,77.872000,870.000000
0.966800,77.714000,868.000000
0.966800,77.554000,865.000000
0.966800,77.392000,863.000000
0.966800,77.231000,861.000000
0.966800,77.075000,859.000000
0.966800,76.916000,856.000000
0.966800,76.753000,855.000000
0.966800,76.589000,852.000000
0.966800,76.430000,850.000000
0.966800,76.272000,847.000000
0.966800,76.114000,846.000000
0.966800,75.956000,843.000000
0.966800,75.797000,841.000000
0.966800,75.639000,840.000000
0.966800,75.478000,838.000000
0.966800,75.315000,838.000000
0.966800,75.157000,836.000000
0.966800,74.999000,832.000000
0.966800,74.838000,832.000000
0.966800,74.673000,830.000000
0.966800,74.512000,828.000000
0.966800,74.355000,827.000000
0.966800,74.197000,826.000000
0.966800,74.038000,824.000000
0.966800,73.878000,823.000000
0.966800,73.719000,820.000000
0.966800,73.559000,819.000000
0.966800,73.398000,819.000000
0.966800,73.237000,819.000000
0.966800,73.082000,818.000000
0.966800,72.922000,815.000000
0.966800,72.758000,815.000000
0.966800,72.594000,813.000000
0.966800,72.436000,813.000000
0.966800,72.278000,812.000000
0.966800,72.119000,812.000000
0.966800,71.959000,810.000000
0.966800,71.800000,809.000000
0.966800,71.641000,809.000000
0.966800,71.480000,808.000000
0.966800,71.318000,806.000000
0.966800,71.161000,808.000000
0.966800,71.004000,807.000000
0.966800,70.842000,806.000000
0.966800,70.679000,807.000000
0.966800,70.515000,805.000000
0.966800,70.357000,806.000000
0.966800,70.199000,804.000000
0.966800,70.041000,803.000000
0.966800,69.881000,803.000000
0.966800,69.723000,804.000000
0.966800,69.563000,804.000000
0.966800,69.402000,804.000000
0.966800,69.241000,804.000000
0.966800,69.087000,804.000000
0.966800,68.927000,804.000000
0.966800,68.763000,803.000000
0.966800,68.600000,804.000000
0.966800,68.439000,805.000000
0.966800,68.281000,805.000000
0.966800,68.123000,804.000000
0.966800,67.963000,805.000000
0.966800,67.803000,806.000000
0.966800,67.644000,806.000000
0.966800,67.483000,806.000000
0.966800,67.321000,807.000000
0.966800,67.165000,809.000000
0.966800,67.008000,809.000000
0.966800,66.847000,808.000000
0.966800,66.684000,809.000000
0.966800,66.520000,811.000000
0.966800,66.362000,810.000000
0.966800,66.205000,811.000000
0.966800,66.046000,811.000000
0.966800,65.886000,812.000000
0.966800,65.727000,812.000000
0.966800,65.567000,812.000000
0.966800,65.405000,814.000000
0.966800,65.244000,816.000000
0.966800,65.090000,816.000000
0.966800,64.929000,819.000000
0.966800,64.766000,820.000000
0.966800,64.603000,822.000000
0.966800,64.442000,822.000000
0.966800,64.286000,824.000000
0.966800,64.127000,825.000000
0.966800,63.967000,827.000000
0.966800,63.807000,826.000000
0.966800,63.648000,829.000000
0.966800,63.486000,832.000000
0.966800,63.324000,833.000000
0.966800,63.167000,833.000000
0.966800,63.011000,834.000000
0.966800,62.850000,838.000000
0.966800,62.687000,838.000000
0.966800,62.524000,841.000000
0.966800,62.366000,842.000000
0.966800,62.208000,844.000000
0.966800,62.048000,846.000000
0.966800,61.887000,848.000000
0.966800,61.729000,849.000000
0.966800,61.568000,853.000000
0.966800,61.407000,855.000000
0.966800,61.245000,857.000000
0.966800,61.090000,860.000000
