X,Y,Z
27.059,34.8238706,0.587668308
27.212,34.79384484,0.58716161
27.368,34.79384484,0.58716161
27.529,34.79384484,0.58716161
27.689,34.76381909,0.586654912
27.849,34.73379333,0.586148214
28.01,34.70376758,0.585641517
28.171,34.67374182,0.585134819
28.33,34.61369032,0.584121423
28.49,34.64371607,0.584628121
28.655,34.58366456,0.583614725
28.82,34.55363881,0.583108027
28.98,34.52361305,0.582601329
29.134,34.52361305,0.582601329
29.287,34.46356154,0.581587933
29.448,34.43353579,0.581081235
29.608,34.37348428,0.580067839
29.768,34.34345852,0.579561141
29.928,34.28340701,0.578547745
30.091,34.28340701,0.578547745
30.251,34.2233555,0.577534349
30.411,34.16330399,0.576520953
30.572,34.13327824,0.576014255
30.735,34.10325248,0.575507557
30.897,34.04320097,0.574494161
31.056,33.98314946,0.573480765
31.209,33.95312371,0.572974067
31.366,33.8930722,0.571960671
31.526,33.86304644,0.571453973
31.686,33.80299493,0.570440577
31.846,33.68289191,0.568413785
32.006,33.65286616,0.567907087
32.168,33.6228404,0.567400389
32.328,33.56278889,0.566386994
32.488,33.50273738,0.565373598
32.655,33.41266012,0.563853504
32.816,33.35260861,0.562840108
32.977,33.32258285,0.56233341
33.131,33.23250559,0.560813316
33.284,33.14242832,0.559293222
33.446,33.05235106,0.557773128
33.607,32.99229955,0.556759732
33.767,32.90222228,0.555239638
33.926,32.81214502,0.553719544
34.087,32.75209351,0.552706148
34.248,32.63199049,0.550679356
34.408,32.54191322,0.549159262
34.576,32.45183596,0.547639169
34.739,32.39178445,0.546625773
34.898,32.27168143,0.544598981
35.053,32.21162992,0.543585585
35.204,32.0915269,0.541558793
35.36,32.00144963,0.540038699
35.521,31.94139812,0.539025303
35.682,31.85132086,0.537505209
35.842,31.76124359,0.535985115
36.004,31.67116633,0.534465021
36.165,31.58108906,0.532944927
36.325,31.52103755,0.531931531
36.485,31.40093453,0.52990474
36.65,31.31085727,0.528384646
36.813,31.25080576,0.52737125
36.973,31.19075425,0.526357854
37.127,31.10067699,0.52483776
37.28,31.04062548,0.523824364
37.441,30.92052246,0.521797572
37.602,30.86047095,0.520784176
37.763,30.77039368,0.519264082
37.923,30.68031642,0.517743988
38.087,30.62026491,0.516730592
38.246,30.35003311,0.512170311
38.403,29.9596983,0.505583237
38.574,26.32658195,0.444272782
38.736,25.99629864,0.438699105
38.893,25.78611836,0.435152219
39.05,25.69604109,0.433632125
39.201,25.66601534,0.433125427
39.358,25.66601534,0.433125427
39.519,25.54591232,0.431098635
39.679,25.57593807,0.431605333
39.839,25.57593807,0.431605333
40,25.57593807,0.431605333
40.161,25.60596383,0.432112031
40.322,25.60596383,0.432112031
40.487,25.57593807,0.431605333
40.649,25.60596383,0.432112031
40.81,25.54591232,0.431098635
40.968,25.54591232,0.431098635
41.123,25.54591232,0.431098635
41.275,25.54591232,0.431098635
41.435,25.51588656,0.430591937
41.596,25.54591232,0.431098635
41.756,25.51588656,0.430591937
41.918,25.54591232,0.431098635
42.078,25.57593807,0.431605333
42.237,25.57593807,0.431605333
42.395,25.57593807,0.431605333
42.554,25.51588656,0.430591937
42.719,25.51588656,0.430591937
42.88,25.48586081,0.430085239
43.037,25.51588656,0.430591937
43.192,25.48586081,0.430085239
43.348,25.45583505,0.429578541
43.51,25.45583505,0.429578541
43.671,25.48586081,0.430085239
43.832,25.48586081,0.430085239
43.993,25.48586081,0.430085239
44.154,25.48586081,0.430085239
44.314,25.48586081,0.430085239
44.473,25.51588656,0.430591937
44.632,25.51588656,0.430591937
44.79,25.54591232,0.431098635
44.953,25.54591232,0.431098635
45.11,25.45583505,0.429578541
45.263,25.45583505,0.429578541
45.425,25.45583505,0.429578541
45.586,25.48586081,0.430085239
45.746,25.4258093,0.429071843
45.904,25.4258093,0.429071843
46.065,25.45583505,0.429578541
46.227,25.45583505,0.429578541
46.385,25.4258093,0.429071843
46.543,25.45583505,0.429578541
46.706,25.45583505,0.429578541
46.867,25.51588656,0.430591937
47.027,25.48586081,0.430085239
47.183,25.4258093,0.429071843
47.341,25.4258093,0.429071843
47.503,25.45583505,0.429578541
47.664,25.45583505,0.429578541
47.823,25.45583505,0.429578541
47.983,25.45583505,0.429578541
48.145,25.45583505,0.429578541
48.304,25.48586081,0.430085239
48.462,25.48586081,0.430085239
48.622,25.48586081,0.430085239
48.784,25.48586081,0.430085239
48.947,25.45583505,0.429578541
49.104,25.45583505,0.429578541
49.258,25.45583505,0.429578541
49.419,25.39578354,0.428565145
49.581,25.39578354,0.428565145
49.742,25.45583505,0.429578541
49.901,25.48586081,0.430085239
50.062,25.39578354,0.428565145
50.222,25.4258093,0.429071843
50.379,25.4258093,0.429071843
50.538,25.4258093,0.429071843
50.701,25.48586081,0.430085239
50.863,25.48586081,0.430085239
51.025,25.45583505,0.429578541
51.182,25.45583505,0.429578541
51.34,25.45583505,0.429578541
51.502,25.4258093,0.429071843
51.662,25.4258093,0.429071843
51.822,25.4258093,0.429071843
51.982,25.39578354,0.428565145
52.142,25.4258093,0.429071843
52.302,25.4258093,0.429071843
52.464,25.4258093,0.429071843
52.628,25.45583505,0.429578541
52.786,25.45583505,0.429578541
52.947,25.45583505,0.429578541
53.104,25.45583505,0.429578541
53.258,25.4258093,0.429071843
53.42,25.4258093,0.429071843
53.582,25.39578354,0.428565145
53.742,25.4258093,0.429071843
53.901,25.4258093,0.429071843
54.062,25.4258093,0.429071843
54.22,25.45583505,0.429578541
54.379,25.45583505,0.429578541
54.538,25.48586081,0.430085239
54.701,25.48586081,0.430085239
54.862,25.4258093,0.429071843
55.024,25.54591232,0.431098635
55.18,25.51588656,0.430591937
55.338,25.78611836,0.435152219
55.502,25.84616987,0.436165615
55.664,25.87619562,0.436672313
55.822,29.74951801,0.502036351
55.981,30.16987858,0.509130123
56.141,30.53018764,0.515210498
56.299,30.77039368,0.519264082
56.456,30.83044519,0.520277478
56.617,30.92052246,0.521797572
56.779,30.98057397,0.522810968
56.941,31.04062548,0.523824364
57.1,31.16072849,0.525851156
57.255,31.25080576,0.52737125
57.418,31.31085727,0.528384646
57.575,31.40093453,0.52990474
57.735,31.43096029,0.530411438
57.894,31.55106331,0.532438229
58.054,31.58108906,0.532944927
58.213,31.67116633,0.534465021
58.37,31.79126935,0.536491813
58.528,31.85132086,0.537505209
58.69,31.94139812,0.539025303
58.853,32.03147539,0.540545397
59.015,32.15157841,0.542572189
59.171,32.21162992,0.543585585
59.327,32.27168143,0.544598981
59.489,32.4218102,0.547132471
59.65,32.45183596,0.547639169
59.81,32.54191322,0.549159262
59.969,32.63199049,0.550679356
60.13,32.72206775,0.55219945
60.288,32.78211926,0.553212846
60.446,32.84217077,0.554226242
60.606,32.93224804,0.555746336
60.767,33.0223253,0.55726643
60.931,33.08237681,0.558279826
61.09,33.11240257,0.558786524
61.245,33.20247983,0.560306618
61.407,33.26253134,0.561320014
61.568,33.32258285,0.56233341
61.729,33.44268587,0.564360202
61.887,33.47271163,0.5648669
62.048,33.53276314,0.565880296
62.208,33.59281465,0.566893692
62.366,33.65286616,0.567907087
62.524,33.68289191,0.568413785
62.687,33.77296918,0.569933879
62.85,33.77296918,0.569933879
63.011,33.8930722,0.571960671
63.167,33.92309795,0.572467369
63.324,33.92309795,0.572467369
63.486,33.95312371,0.572974067
63.648,34.04320097,0.574494161
63.807,34.13327824,0.576014255
63.967,34.10325248,0.575507557
64.127,34.16330399,0.576520953
64.286,34.19332975,0.577027651
64.442,34.25338126,0.578041047
64.603,34.25338126,0.578041047
64.766,34.31343277,0.579054443
64.929,34.34345852,0.579561141
65.09,34.43353579,0.581081235
65.244,34.43353579,0.581081235
65.405,34.4935873,0.582094631
65.567,34.55363881,0.583108027
65.727,34.55363881,0.583108027
65.886,34.55363881,0.583108027
66.046,34.58366456,0.583614725
66.205,34.58366456,0.583614725
66.362,34.61369032,0.584121423
66.52,34.58366456,0.583614725
66.684,34.64371607,0.584628121
66.847,34.67374182,0.585134819
67.008,34.64371607,0.584628121
67.165,34.64371607,0.584628121
67.321,34.70376758,0.585641517
67.483,34.73379333,0.586148214
67.644,34.73379333,0.586148214
67.803,34.73379333,0.586148214
67.963,34.76381909,0.586654912
68.123,34.79384484,0.58716161
68.281,34.76381909,0.586654912
68.439,34.76381909,0.586654912
68.6,34.79384484,0.58716161
68.763,34.8238706,0.587668308
68.927,34.79384484,0.58716161
69.087,34.79384484,0.58716161
69.241,34.79384484,0.58716161
69.402,34.79384484,0.58716161
69.563,34.79384484,0.58716161
69.723,34.79384484,0.58716161
69.881,34.8238706,0.587668308
70.041,34.8238706,0.587668308
70.199,34.79384484,0.58716161
70.357,34.73379333,0.586148214
70.515,34.76381909,0.586654912
70.679,34.70376758,0.585641517
70.842,34.73379333,0.586148214
71.004,34.70376758,0.585641517
71.161,34.67374182,0.585134819
71.318,34.73379333,0.586148214
71.48,34.67374182,0.585134819
71.641,34.64371607,0.584628121
71.8,34.64371607,0.584628121
71.959,34.61369032,0.584121423
72.119,34.55363881,0.583108027
72.278,34.55363881,0.583108027
72.436,34.52361305,0.582601329
72.594,34.52361305,0.582601329
72.758,34.46356154,0.581587933
72.922,34.46356154,0.581587933
73.082,34.37348428,0.580067839
73.237,34.34345852,0.579561141
73.398,34.34345852,0.579561141
73.559,34.34345852,0.579561141
73.719,34.31343277,0.579054443
73.878,34.2233555,0.577534349
74.038,34.19332975,0.577027651
74.197,34.13327824,0.576014255
74.355,34.10325248,0.575507557
74.512,34.07322673,0.575000859
74.673,34.01317522,0.573987463
74.838,33.95312371,0.572974067
74.999,33.95312371,0.572974067
75.157,33.83302069,0.570947275
75.315,33.77296918,0.569933879
75.478,33.77296918,0.569933879
75.639,33.71291767,0.568920483
75.797,33.68289191,0.568413785
75.956,33.6228404,0.567400389
76.114,33.53276314,0.565880296
76.272,33.50273738,0.565373598
76.43,33.41266012,0.563853504
76.589,33.35260861,0.562840108
76.753,33.26253134,0.561320014
76.916,33.23250559,0.560813316
77.075,33.14242832,0.559293222
77.231,33.08237681,0.558279826
77.392,33.0223253,0.55726643
77.554,32.96227379,0.556253034
77.714,32.87219653,0.55473294
77.872,32.81214502,0.553719544
78.032,32.72206775,0.55219945
78.191,32.66201624,0.551186054
78.348,32.57193898,0.54966596
78.506,32.45183596,0.547639169
78.668,32.39178445,0.546625773
78.832,32.30170718,0.545105679
78.995,32.21162992,0.543585585
79.153,32.15157841,0.542572189
79.31,32.06150114,0.541052095
79.473,31.97142388,0.539532001
79.633,31.88134661,0.538011907
79.791,31.73121784,0.535478417
79.95,31.67116633,0.534465021
80.108,31.55106331,0.532438229
80.266,31.46098604,0.530918135
80.423,31.31085727,0.528384646
80.584,31.19075425,0.526357854
80.747,31.10067699,0.52483776
80.912,31.01059972,0.523317666
81.073,30.86047095,0.520784176
81.229,30.80041944,0.51977078
81.39,30.68031642,0.517743988
81.552,30.53018764,0.515210498
81.712,30.38005887,0.512677008
81.869,30.2899816,0.511156915
82.028,30.19990434,0.509636821
82.186,30.07980132,0.507610029
82.344,29.92967254,0.505076539
82.503,29.80956952,0.503049747
82.666,29.71949226,0.501529653
82.83,29.59938924,0.499502861
82.993,29.53933773,0.498489465
83.15,29.38920895,0.495955975
